"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn2787231","net2_transcription_factors.tsv","1","text/tab-separated-values","387","1918749","1414610269451","1918749","1414610269451","syn2787221","https://www.synapse.org/#!Synapse:syn2787231.1","d4b71ba42381f243abc56c0dd29b58e2"
"syn2787227","net1_transcription_factors.tsv","1","text/tab-separated-values","867","1918749","1414610224024","1918749","1414610224024","syn2787220","https://www.synapse.org/#!Synapse:syn2787227.1","d4cfec1596a7dde09ce324d6476e2dbe"
"syn2787239","net4_transcription_factors.tsv","1","text/tab-separated-values","1557","1918749","1414610402476","1918749","1414610402476","syn2787223","https://www.synapse.org/#!Synapse:syn2787239.1","675a4eb5f8aa067ce282d384bbae4e1f"
"syn2787235","net3_transcription_factors.tsv","1","text/tab-separated-values","1562","1918749","1414610323072","1918749","1414610323072","syn2787222","https://www.synapse.org/#!Synapse:syn2787235.1","489672e61c445c7d5d96841b13b36567"
"syn2787229","net2_chip_features.tsv","1","text/tab-separated-values","3975","1918749","1414610260760","1918749","1414610260760","syn2787221","https://www.synapse.org/#!Synapse:syn2787229.1","0b38b3b45e7e3f6cc79885b01f80962e"
"syn2787242","DREAM5_NetworkInference_GoldStandard_Network2 - S. aureus.txt","1","text/plain","6147","1918749","1414610598464","1918749","1414610598464","syn2787213","https://www.synapse.org/#!Synapse:syn2787242.1","dc810d29586d62d3fb0f999219948aca"
"syn2787237","net4_chip_features.tsv","1","text/tab-separated-values","13881","1918749","1414610383580","1918749","1414610383580","syn2787223","https://www.synapse.org/#!Synapse:syn2787237.1","b3b22d66485f057e5ede59f913674186"
"syn2787224","net1_gene_ids.tsv","1","text/tab-separated-values","17121","1918749","1414610208644","1918749","1414610208644","syn2787220","https://www.synapse.org/#!Synapse:syn2787224.1","5118c62bfb84bbdd39ff5f58f2a911e6"
"syn2787233","net3_chip_features.tsv","1","text/tab-separated-values","20982","1918749","1414610306227","1918749","1414610306227","syn2787222","https://www.synapse.org/#!Synapse:syn2787233.1","f1221a51dce32a413343699619eae6f7"
"syn2787225","net1_chip_features.tsv","1","text/tab-separated-values","21458","1918749","1414610213410","1918749","1414610213410","syn2787220","https://www.synapse.org/#!Synapse:syn2787225.1","9a00cc202b860ae1cc191d13389694a7"
"syn2787228","net2_gene_ids.tsv","1","text/tab-separated-values","38737","1918749","1414610257228","1918749","1414610257228","syn2787221","https://www.synapse.org/#!Synapse:syn2787228.1","d6c625c2df6a7acadc712aecfa21ffdf"
"syn2787241","DREAM5_NetworkInference_GoldStandardSigned_Network1 - in silico.tsv","1","text/tab-separated-values","48307","1918749","1414610594497","1918749","1414610594497","syn2787213","https://www.synapse.org/#!Synapse:syn2787241.1","9bf6de800feb05c67fc04c5e30bac798"
"syn2787232","net3_gene_ids.tsv","1","text/tab-separated-values","49028","1918749","1414610302600","1918749","1414610302600","syn2787222","https://www.synapse.org/#!Synapse:syn2787232.1","1a5c60cbe4bba44b19b01985d5578d74"
"syn2787236","net4_gene_ids.tsv","1","text/tab-separated-values","82929","1918749","1414610378953","1918749","1414610378953","syn2787223","https://www.synapse.org/#!Synapse:syn2787236.1","3d4d3b078372366704934fdb0be152f2"
"syn2787243","DREAM5_NetworkInference_GoldStandard_Network3 - E. coli.tsv","1","text/tab-separated-values","1882207","1918749","1414610602973","1918749","1414610602973","syn2787213","https://www.synapse.org/#!Synapse:syn2787243.1","5f7c7fbda344c38ca8b19057255bee17"
"syn2787244","DREAM5_NetworkInference_GoldStandard_Network4 - S. cerevisiae.tsv","1","text/tab-separated-values","2834256","1918749","1414610607286","1918749","1414610607286","syn2787213","https://www.synapse.org/#!Synapse:syn2787244.1","f771f8b9eb9a2cb15272a0f94830b24a"
"syn2787240","DREAM5_NetworkInference_GoldStandard_Network1 - in silico.tsv","1","text/tab-separated-values","3280407","1918749","1414610590120","1918749","1414610590120","syn2787213","https://www.synapse.org/#!Synapse:syn2787240.1","a9f2da4f137a5827fedec5605acd401f"
"syn2787230","net2_expression_data.tsv","1","text/tab-separated-values","4584938","1918749","1414610265523","1918749","1414610265523","syn2787221","https://www.synapse.org/#!Synapse:syn2787230.1","838d9daadd81850ecf526197290ec13b"
"syn2787226","net1_expression_data.tsv","1","text/tab-separated-values","13234901","1918749","1414610221057","1918749","1414610221057","syn2787220","https://www.synapse.org/#!Synapse:syn2787226.1","1a5c61fa117e002e65acc1c6c26a5599"
"syn2787238","net4_expression_data.tsv","1","text/tab-separated-values","33355847","1918749","1414610398120","1918749","1414610398120","syn2787223","https://www.synapse.org/#!Synapse:syn2787238.1","66edbbb3dfddc2faeeb980607eaf0a34"
"syn2787234","net3_expression_data.tsv","1","text/tab-separated-values","36874927","1918749","1414610318671","1918749","1414610318671","syn2787222","https://www.synapse.org/#!Synapse:syn2787234.1","d18b463871dd8e63532647a4cfc497fd"
